Order ID,Order Date,Month,Quarter,Year,Region,City,Product Category,Product Name,Units Sold,Unit Price,Sales Amount,Discount %,Marketing Spend,Stock Available,Demand Level,Previous Month Sales,Forecasted Sales,Actual Sales,Forecast Error %,Season
ORD043,2025-10-26,October,Q4,2025,West,Pune,Electronics,Laptop,206,1964,404584,7,6550,775,Medium,400420,406112,404584,0.38,Festive
ORD044,2025-11-02,November,Q4,2025,North,Lucknow,FMCG,Shampoo,229,4273,978517,12,49532,963,Medium,968732,978942,978517,0.04,Festive
ORD045,2025-11-09,November,Q4,2025,East,Kolkata,Electronics,Laptop,347,2274,789078,1,12104,710,Medium,780959,789741,789078,0.08,Festive
ORD046,2025-11-16,November,Q4,2025,West,Mumbai,Fashion,Jeans,247,4823,1191281,6,21693,145,Medium,1183137,1186308,1191281,0.42,Festive
ORD047,2025-11-23,November,Q4,2025,South,Chennai,Fashion,Sneakers,270,673,181710,30,48531,438,Medium,175567,178751,181710,1.63,Festive
ORD048,2025-11-30,November,Q4,2025,East,Bhubaneswar,Fashion,Jeans,217,3396,736932,22,24376,667,Medium,733847,735075,736932,0.25,Festive
ORD049,2025-12-07,December,Q4,2025,West,Mumbai,FMCG,Biscuits,365,4762,1738130,9,31612,661,High,1737124,1738108,1738130,0.0,Winter
ORD050,2025-12-14,December,Q4,2025,West,Pune,FMCG,Soap,288,3719,1071072,14,49277,318,Medium,1061697,1073824,1071072,0.26,Winter
ORD051,2025-12-21,December,Q4,2025,North,Lucknow,Fashion,T-Shirt,313,2845,890485,2,20392,788,Medium,884400,889165,890485,0.15,Winter
ORD052,2025-12-28,December,Q4,2025,North,Delhi,Electronics,Laptop,175,3992,698600,19,9772,566,Low,690810,703031,698600,0.63,Winter
ORD053,2026-01-04,January,Q1,2026,West,Pune,Electronics,Tablet,254,2098,532892,4,47995,804,Medium,531802,529638,532892,0.61,Winter
ORD054,2026-01-11,January,Q1,2026,South,Chennai,FMCG,Soap,75,4666,349950,7,12953,567,Low,346766,352562,349950,0.75,Winter
ORD055,2026-01-18,January,Q1,2026,East,Bhubaneswar,Fashion,Sneakers,363,4235,1537305,13,40905,556,High,1533698,1540082,1537305,0.18,Winter
ORD056,2026-01-25,January,Q1,2026,South,Chennai,FMCG,Shampoo,442,4370,1931540,15,46074,344,High,1926041,1933746,1931540,0.11,Winter
ORD057,2026-02-01,February,Q1,2026,East,Kolkata,Electronics,Tablet,189,2851,538839,10,40399,182,Medium,535572,536310,538839,0.47,Winter
ORD058,2026-02-08,February,Q1,2026,South,Bangalore,Electronics,Smartphone,82,3498,286836,13,26684,655,Low,278203,288648,286836,0.63,Winter
ORD059,2026-02-15,February,Q1,2026,West,Pune,Electronics,Laptop,444,4884,2168496,30,6280,977,High,2161264,2171310,2168496,0.13,Winter
ORD060,2026-02-22,February,Q1,2026,East,Bhubaneswar,Electronics,Smartphone,486,3532,1716552,17,40791,919,High,1711939,1719551,1716552,0.17,Winter
ORD061,2026-03-01,March,Q1,2026,West,Pune,Electronics,Smartphone,64,3285,210240,10,48835,795,Low,202616,207944,210240,1.09,Spring
ORD062,2026-03-08,March,Q1,2026,North,Lucknow,FMCG,Soap,353,4723,1667219,21,6776,185,High,1659197,1664442,1667219,0.17,Spring
ORD063,2026-03-15,March,Q1,2026,North,Lucknow,FMCG,Soap,244,2781,678564,6,34799,434,Medium,672035,679775,678564,0.18,Spring
ORD064,2026-03-22,March,Q1,2026,East,Kolkata,FMCG,Shampoo,290,258,74820,23,40351,153,Medium,68087,73493,74820,1.77,Spring
ORD065,2026-03-29,March,Q1,2026,North,Delhi,Fashion,T-Shirt,176,1733,305008,26,6335,736,Low,301512,303916,305008,0.36,Spring
ORD066,2026-04-05,April,Q2,2026,North,Delhi,Electronics,Smartphone,288,2199,633312,24,29175,271,Medium,630436,630995,633312,0.37,Spring
ORD067,2026-04-12,April,Q2,2026,North,Lucknow,FMCG,Soap,344,3174,1091856,12,17997,177,Medium,1086878,1088525,1091856,0.31,Spring
ORD068,2026-04-19,April,Q2,2026,North,Delhi,Fashion,Jeans,227,4464,1013328,13,48353,479,Medium,1011199,1016617,1013328,0.32,Spring
ORD069,2026-04-26,April,Q2,2026,North,Lucknow,Fashion,Jeans,471,4115,1938165,3,33411,470,High,1929633,1935671,1938165,0.13,Spring
ORD070,2026-05-03,May,Q2,2026,East,Bhubaneswar,FMCG,Soap,288,3668,1056384,26,43828,374,Medium,1050104,1055406,1056384,0.09,Summer
ORD071,2026-05-10,May,Q2,2026,West,Mumbai,Electronics,Smartphone,434,3906,1695204,18,44998,784,High,1687995,1695715,1695204,0.03,Summer
ORD072,2026-05-17,May,Q2,2026,East,Kolkata,Electronics,Smartphone,299,1837,549263,11,21931,448,Medium,543682,554030,549263,0.87,Summer
ORD073,2026-05-24,May,Q2,2026,North,Delhi,Fashion,Jeans,93,2077,193161,23,31635,600,Low,188224,195961,193161,1.45,Summer
ORD074,2026-05-31,May,Q2,2026,West,Pune,Fashion,Sneakers,455,241,109655,2,24283,326,High,102030,108641,109655,0.92,Summer
ORD075,2026-06-07,June,Q2,2026,East,Bhubaneswar,FMCG,Biscuits,333,4449,1481517,11,32885,863,Medium,1475098,1482281,1481517,0.05,Summer
ORD076,2026-06-14,June,Q2,2026,East,Bhubaneswar,Fashion,Jeans,178,1988,353864,3,17621,423,Low,350906,357643,353864,1.07,Summer
ORD077,2026-06-21,June,Q2,2026,South,Bangalore,Fashion,T-Shirt,428,4066,1740248,8,43639,878,High,1730653,1745025,1740248,0.27,Summer
ORD078,2026-06-28,June,Q2,2026,South,Chennai,FMCG,Soap,166,3056,507296,5,24809,114,Low,497545,504369,507296,0.58,Summer
ORD079,2026-07-05,July,Q3,2026,North,Lucknow,FMCG,Soap,407,1134,461538,20,37170,205,High,460338,465943,461538,0.95,Monsoon
ORD080,2026-07-12,July,Q3,2026,West,Pune,FMCG,Shampoo,224,1610,360640,30,8367,358,Medium,351813,357509,360640,0.87,Monsoon
ORD081,2026-07-19,July,Q3,2026,West,Mumbai,Electronics,Smartphone,345,539,185955,4,14777,930,Medium,179977,182350,185955,1.94,Monsoon
ORD082,2026-07-26,July,Q3,2026,West,Mumbai,Electronics,Laptop,447,4380,1957860,12,34524,553,High,1951989,1962502,1957860,0.24,Monsoon
ORD083,2026-08-02,August,Q3,2026,North,Delhi,FMCG,Shampoo,440,1802,792880,20,18829,370,High,790550,790453,792880,0.31,Monsoon
ORD084,2026-08-09,August,Q3,2026,North,Delhi,Electronics,Laptop,51,3446,175746,14,43916,581,Low,169975,171280,175746,2.54,Monsoon
ORD085,2026-08-16,August,Q3,2026,East,Bhubaneswar,Electronics,Smartphone,86,2012,173032,29,22337,906,Low,168791,174997,173032,1.14,Monsoon
ORD086,2026-08-23,August,Q3,2026,South,Bangalore,Electronics,Tablet,186,1265,235290,2,8908,269,Medium,229251,240039,235290,2.02,Monsoon
ORD087,2026-08-30,August,Q3,2026,East,Bhubaneswar,Fashion,Sneakers,113,3939,445107,22,24928,816,Low,437513,444567,445107,0.12,Monsoon
ORD088,2026-09-06,September,Q3,2026,West,Pune,Fashion,Sneakers,91,4999,454909,1,33313,852,Low,448629,459800,454909,1.08,Autumn
ORD089,2026-09-13,September,Q3,2026,North,Delhi,FMCG,Soap,395,4812,1900740,18,6359,883,High,1895325,1905181,1900740,0.23,Autumn
ORD090,2026-09-20,September,Q3,2026,West,Pune,Electronics,Laptop,192,1586,304512,18,33566,750,Medium,295456,301006,304512,1.15,Autumn
ORD091,2026-09-27,September,Q3,2026,West,Pune,FMCG,Shampoo,214,956,204584,27,15539,437,Medium,196840,207701,204584,1.52,Autumn
ORD092,2026-10-04,October,Q4,2026,West,Mumbai,FMCG,Biscuits,282,821,231522,10,21541,431,Medium,228623,233144,231522,0.7,Festive
ORD093,2026-10-11,October,Q4,2026,West,Pune,Fashion,T-Shirt,77,1636,125972,16,28709,737,Low,116805,128214,125972,1.78,Festive
ORD094,2026-10-18,October,Q4,2026,East,Kolkata,Electronics,Laptop,197,3689,726733,28,36766,224,Medium,725261,731708,726733,0.68,Festive
ORD095,2026-10-25,October,Q4,2026,South,Chennai,Electronics,Tablet,332,212,70384,17,31738,195,Medium,65703,67242,70384,4.46,Festive
ORD096,2026-11-01,November,Q4,2026,South,Chennai,FMCG,Soap,416,2490,1035840,16,22919,525,High,1026935,1038576,1035840,0.26,Festive
ORD097,2026-11-08,November,Q4,2026,South,Chennai,Electronics,Smartphone,147,4263,626661,23,13946,984,Low,624518,626187,626661,0.08,Festive
ORD098,2026-11-15,November,Q4,2026,East,Kolkata,FMCG,Shampoo,194,2545,493730,26,43465,693,Medium,484708,491164,493730,0.52,Festive
ORD099,2026-11-22,November,Q4,2026,West,Pune,FMCG,Biscuits,220,4621,1016620,24,40614,486,Medium,1008160,1016892,1016620,0.03,Festive
ORD100,2026-11-29,November,Q4,2026,South,Chennai,Electronics,Tablet,169,3465,585585,1,25852,862,Low,576836,586831,585585,0.21,Festive
ORD101,2026-12-06,December,Q4,2026,South,Chennai,FMCG,Biscuits,68,1134,77112,16,43678,439,Low,74468,79325,77112,2.87,Winter
ORD102,2026-12-13,December,Q4,2026,West,Mumbai,Electronics,Tablet,419,1280,536320,13,47911,258,High,534095,539012,536320,0.5,Winter
ORD103,2026-12-20,December,Q4,2026,West,Mumbai,FMCG,Shampoo,486,2791,1356426,27,49194,979,High,1346684,1357652,1356426,0.09,Winter
ORD104,2026-12-27,December,Q4,2026,West,Mumbai,FMCG,Biscuits,366,660,241560,7,46363,800,High,235852,240287,241560,0.53,Winter
ORD105,2027-01-03,January,Q1,2027,West,Mumbai,Fashion,T-Shirt,439,923,405197,14,15902,810,High,399291,400671,405197,1.12,Winter
ORD106,2027-01-10,January,Q1,2027,North,Lucknow,Electronics,Smartphone,233,3170,738610,13,14540,350,Medium,728908,740361,738610,0.24,Winter
ORD107,2027-01-17,January,Q1,2027,South,Bangalore,Fashion,Sneakers,139,746,103694,19,30070,734,Low,98749,106847,103694,3.04,Winter
ORD108,2027-01-24,January,Q1,2027,South,Chennai,Fashion,T-Shirt,376,2180,819680,14,21733,782,High,818527,822302,819680,0.32,Winter
ORD109,2027-01-31,January,Q1,2027,South,Bangalore,FMCG,Biscuits,276,2930,808680,18,24605,754,Medium,800729,807777,808680,0.11,Winter
ORD110,2027-02-07,February,Q1,2027,South,Chennai,FMCG,Shampoo,486,4058,1972188,3,20545,490,High,1965307,1976605,1972188,0.22,Winter
ORD111,2027-02-14,February,Q1,2027,East,Kolkata,FMCG,Biscuits,474,3342,1584108,8,5530,679,High,1582305,1589043,1584108,0.31,Winter
ORD112,2027-02-21,February,Q1,2027,East,Kolkata,Fashion,Jeans,360,2986,1074960,7,46721,294,High,1069854,1072200,1074960,0.26,Winter
ORD113,2027-02-28,February,Q1,2027,North,Lucknow,Fashion,T-Shirt,453,3711,1681083,1,42982,473,High,1677930,1677559,1681083,0.21,Winter
ORD114,2027-03-07,March,Q1,2027,West,Mumbai,FMCG,Shampoo,152,1182,179664,25,40350,997,Low,172670,183361,179664,2.06,Spring
ORD115,2027-03-14,March,Q1,2027,South,Chennai,Fashion,Jeans,472,4047,1910184,30,24342,864,High,1903635,1907070,1910184,0.16,Spring
ORD116,2027-03-21,March,Q1,2027,South,Bangalore,FMCG,Soap,490,3355,1643950,30,41524,474,High,1641471,1645414,1643950,0.09,Spring
ORD117,2027-03-28,March,Q1,2027,North,Lucknow,Electronics,Smartphone,238,2247,534786,18,29970,942,Medium,527700,531561,534786,0.6,Spring
ORD118,2027-04-04,April,Q2,2027,West,Mumbai,Fashion,T-Shirt,367,4699,1724533,10,44982,326,High,1722498,1727139,1724533,0.15,Spring
ORD119,2027-04-11,April,Q2,2027,West,Mumbai,Fashion,Jeans,121,471,56991,30,7438,411,Low,47920,53893,56991,5.44,Spring
ORD120,2027-04-18,April,Q2,2027,South,Chennai,Electronics,Laptop,282,3139,885198,21,40402,529,Medium,881667,886995,885198,0.2,Spring
